Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T0001,8/2/2024,C2205,Headphones,-5,420.21,PayPal,Completed
T0002,2/10/2020,C3156,Coffee Machine,469,-445.34,Credit Card,Pending
T0003,7/24/2022,C2919,Tablet,-4,810.99,Credit Card,Completed
T0004,8/17/2020,C3009,Tablet,-7,868.61,PayPal,Pending
T0005,7/24/2022,C3488,Coffee Machine,-10,-763.12,PayPal,Completed
T0006,10/26/2021,C4241,Smartphone,598,62.87,PayPal,Completed
T0008,7/24/2022,C4736,Headphones,669,-86.92,Cash,Completed
T0009,7/24/2022,C3387,Tablet,10,461.7,PayPal,Completed
T0010,7/24/2022,C2846,Laptop,-1,404.89,Credit Card,Pending
T0011,7/24/2022,C1004,Laptop,10,-600.84,PayPal,Completed
T0012,7/24/2022,C2912,Tablet,608,-58.515,PayPal,Completed
T0013,3/18/2020,C1692,Smartphone,564,62.87,Cash,Completed
T0014,6/19/2020,C2992,Coffee Machine,696,905.51,Credit Card,Failed
T0015,7/24/2022,C3879,Headphones,-2,523.84,Credit Card,Pending
T0016,7/24/2022,C2837,Laptop,-3,55.875,Credit Card,Pending
T0017,7/7/2020,C3776,Smartphone,236,-94.56,Credit Card,Pending
T0018,7/24/2022,C847,Coffee Machine,7,-108.44,Credit Card,Completed
T0019,2/19/2024,C4871,Smartphone,6,62.87,PayPal,Pending
T0020,7/24/2022,C1924,Headphones,-6,-52.565,PayPal,Completed
T0021,7/24/2022,C1137,Coffee Machine,856,-488.86,Credit Card,Failed
T0022,7/24/2022,C3883,Smartphone,9,62.87,Credit Card,Completed
T0023,7/24/2022,C4877,Tablet,538,-733.83,PayPal,Completed
T0024,11/3/2023,C828,Coffee Machine,487,-53.65,Cash,Completed
T0025,11/18/2022,C4985,Tablet,114,276.94,PayPal,Completed
T0026,1/1/2020,C1096,Coffee Machine,654,-53.65,PayPal,Completed
T73466,7/24/2022,C2702,Coffee Machine,-5,555.61,Credit Card,Completed
T0028,7/24/2022,C3025,Smartphone,7,797.34,PayPal,Completed
T0029,7/24/2022,C1345,Smartphone,-5,-295.77,PayPal,Pending
T0030,10/16/2021,C3058,Headphones,5,-52.565,PayPal,Failed
T0031,7/17/2024,C3672,Tablet,-5,787.99,Credit Card,Completed
T0032,10/5/2023,Unknown,Laptop,-7,55.875,Credit Card,Completed
T0033,7/24/2022,C1844,Coffee Machine,-3,546.78,PayPal,Failed
T0034,7/24/2022,C1406,Coffee Machine,3,-120.68,Credit Card,Completed
T0035,7/25/2022,C2579,Coffee Machine,485,970.28,Credit Card,Completed
T0036,7/24/2022,C292,Laptop,2,-596.43,PayPal,Completed
T0037,7/24/2022,C2492,Smartphone,-10,711.71,PayPal,Pending
T0038,6/18/2020,C2208,Laptop,8,55.875,Credit Card,Failed
T0039,7/24/2022,C4687,Tablet,9,-58.515,PayPal,Completed
T0040,7/24/2022,C3328,Headphones,7,-52.565,PayPal,Failed
T0041,10/20/2023,C1693,Laptop,865,55.875,Credit Card,Completed
T0042,8/4/2021,C4796,Coffee Machine,8,-53.65,Credit Card,Failed
T0043,7/24/2022,C4046,Smartphone,-10,62.87,Cash,Pending
T0044,7/24/2022,C246,Smartphone,-10,62.87,Cash,Completed
T0045,7/24/2022,C3393,Smartphone,-5,653.39,Credit Card,Pending
T0046,7/24/2022,C2797,Coffee Machine,825,-788.77,PayPal,Completed
T0047,7/24/2022,C2200,Laptop,6,55.875,Cash,Completed
T0048,7/24/2022,C987,Headphones,-5,-527.1,Credit Card,Pending
T0049,6/18/2020,C4480,Laptop,762,55.875,Credit Card,Completed
T0050,4/23/2021,Unknown,Tablet,-6,969.72,PayPal,Completed
T0051,7/24/2022,C591,Coffee Machine,272,-253.73,Cash,Completed
T0052,12/20/2022,C4029,Headphones,839,-756.33,PayPal,Pending
T0053,7/22/2022,C1077,Laptop,559,154.19,Credit Card,Failed
T0054,7/24/2022,C642,Tablet,4,-58.515,Credit Card,Completed
T0055,4/17/2024,C2474,Coffee Machine,867,130.23,Credit Card,Pending
T0056,7/24/2022,C4020,Coffee Machine,153,-500.92,PayPal,Completed
T0057,7/24/2022,C627,Laptop,863,55.875,Credit Card,Completed
T0058,7/24/2022,C3286,Smartphone,469,-424.32,PayPal,Completed
T0059,7/24/2022,C2809,Tablet,4,-329.62,Credit Card,Completed
T0060,7/24/2022,Unknown,Headphones,9,-774.74,PayPal,Completed
T0061,7/24/2022,C3123,Headphones,6,-692.7,Credit Card,Completed
T0062,7/24/2022,C3832,Laptop,2,55.875,PayPal,Pending
T0063,7/24/2022,C185,Tablet,6,591.26,Credit Card,Pending
T0064,7/24/2022,C4415,Tablet,587,-58.515,Cash,Completed
T0065,7/24/2022,C4884,Smartphone,-6,261.1,PayPal,Pending
