transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale,Product Name
180,2022-11-05,10:47:00,117,Male,41.0,Clothing,3.0,300.0,129.0,900.0,Jeans
522,2022-07-09,11:00:00,52,Male,46.0,Beauty,3.0,500.0,145.0,1500.0,Face Cream
559,2022-12-12,10:48:00,5,Female,40.0,Clothing,4.0,300.0,84.0,1200.0,Dress
1180,2022-01-06,08:53:00,85,Male,41.0,Clothing,3.0,300.0,129.0,900.0,Sneakers
1522,2022-11-14,08:35:00,48,Male,46.0,Beauty,3.0,500.0,235.0,1500.0,Lipstick
1559,2022-08-20,07:40:00,49,Female,40.0,Clothing,4.0,300.0,144.0,1200.0,Jacket
163,2022-10-31,09:38:00,144,Female,64.0,Clothing,3.0,50.0,23.0,150.0,Jeans
303,2022-04-22,11:09:00,54,Male,19.0,Electronics,3.0,30.0,14.7,90.0,Power Bank
421,2022-04-08,08:43:00,66,Female,37.0,Clothing,3.0,500.0,235.0,1500.0,Jeans
979,2022-05-18,10:18:00,6,Female,19.0,Beauty,1.0,25.0,10.5,25.0,Sunscreen
1163,2022-05-04,10:52:00,120,Female,64.0,Clothing,3.0,50.0,27.0,150.0,Skirt
1303,2022-03-19,08:59:00,58,Male,19.0,Electronics,3.0,30.0,15.0,90.0,Smartphone
1421,2022-01-17,07:07:00,59,Female,37.0,Clothing,3.0,500.0,185.0,1500.0,T-Shirt
1979,2022-08-17,11:34:00,102,Female,19.0,Beauty,1.0,25.0,7.75,25.0,Shampoo
610,2022-12-18,06:56:00,137,Female,26.0,Beauty,2.0,300.0,93.0,600.0,Lipstick
1610,2022-11-23,10:18:00,1,Female,26.0,Beauty,2.0,300.0,102.0,600.0,Lipstick
32,2022-07-16,09:11:00,150,Male,30.0,Beauty,3.0,30.0,8.4,90.0,Foundation
231,2022-07-09,07:02:00,50,Female,23.0,Clothing,3.0,50.0,26.5,150.0,Trousers
683,2022-03-06,10:22:00,82,Male,38.0,Beauty,2.0,500.0,175.0,1000.0,Face Cream
1032,2022-04-01,08:15:00,1,Male,30.0,Beauty,3.0,30.0,10.5,90.0,Foundation
1231,2022-01-29,07:05:00,12,Female,23.0,Clothing,3.0,50.0,23.0,150.0,Sneakers
1683,2022-05-04,07:19:00,98,Male,38.0,Beauty,2.0,500.0,220.0,1000.0,Foundation
367,2022-12-30,07:03:00,123,Female,57.0,Electronics,1.0,50.0,18.0,50.0,Wireless Mouse
391,2022-03-25,07:37:00,68,Male,19.0,Beauty,2.0,25.0,6.25,50.0,Lipstick
432,2022-03-10,11:31:00,17,Female,,Electronics,2.0,500.0,190.0,1000.0,Keyboard
1367,2022-04-15,11:38:00,16,Female,,Electronics,1.0,50.0,15.5,50.0,Monitor
1391,2022-03-01,11:29:00,130,Male,,Beauty,2.0,25.0,9.25,50.0,Moisturizer
1432,2022-12-25,06:24:00,67,Female,,Electronics,2.0,500.0,245.0,1000.0,Smartphone
150,2022-04-13,08:25:00,89,Female,,Electronics,4.0,30.0,16.2,120.0,Laptop
845,2022-10-27,10:12:00,25,Male,,Clothing,1.0,500.0,145.0,500.0,Skirt
1150,2022-08-22,10:04:00,77,Female,,Electronics,4.0,30.0,10.2,120.0,Bluetooth Speaker
1845,2022-05-24,07:06:00,94,Male,,Clothing,1.0,500.0,185.0,500.0,Dress
797,2022-09-16,06:38:00,116,Male,,Clothing,3.0,25.0,10.75,75.0,Jacket
921,2022-09-28,09:34:00,101,Male,,Electronics,3.0,25.0,8.0,75.0,Smartwatch
1797,2022-04-16,11:47:00,147,Male,40.0,Clothing,3.0,25.0,12.25,75.0,Hoodie
1921,2022-02-08,07:01:00,77,Male,51.0,Electronics,3.0,25.0,7.5,75.0,Headphones
291,2022-11-22,08:29:00,15,Male,60.0,Clothing,2.0,300.0,126.0,600.0,Jeans
907,2022-09-02,06:16:00,145,Female,45.0,Electronics,1.0,25.0,8.5,25.0,Wireless Mouse
1291,2022-04-04,11:19:00,72,Male,60.0,Clothing,2.0,300.0,153.0,600.0,Jeans
1907,2022-11-17,11:21:00,115,Female,45.0,Electronics,1.0,25.0,9.0,25.0,Bluetooth Speaker
860,2022-04-11,08:58:00,85,Male,63.0,Clothing,4.0,50.0,16.0,200.0,Hoodie
